# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	299031
#@/user_id	1dd0fc4f-c87c-47d9-ba60-5efabec58bf4
a 	啊	c=1051 d=1.20603 t=299031
fen hu tu 	分戶圖	c=6 d=4.80983 t=289011
fen hui 	分會	c=0 d=0.1 t=6070
fen kai 	分開	c=7 d=2.1605e-05 t=299031
fen lan 	芬蘭	c=1 d=1 t=255377
fen le 	分了	c=1 d=1 t=152076
fen lei 	分類	c=50 d=0.0899909 t=299031
fen lei de 	分類的	c=1 d=1 t=290689
fen li 	分離	c=7 d=1.89583 t=270890
fen liang 	份量	c=1 d=1 t=167699
fen lie 	分裂	c=5 d=0.0871609 t=299031
fen pei 	分配	c=38 d=1 t=297700
fen pei qi 	分配器	c=1 d=1 t=183235
fen pian 	分片	c=3 d=1 t=252661
fen ping 	分屏	c=1 d=1 t=51480
fen qi 	分期	c=4 d=1 t=164826
fen qing 	焚情	c=1 d=1 t=232229
fen qu 	分區	c=1 d=1 t=19903
fen san 	分散	c=3 d=1 t=149921
fen se 	粉色	c=4 d=1.75578 t=254961
fen shu 	分數	c=1 d=1 t=217299
fen shui 	分水	c=0 d=0.199501 t=214869
fen shui qi 	分水器	c=2 d=1.65051 t=214956
fen shui qi 	分水齊	c=1 d=1 t=214869
fen si 	粉絲	c=3 d=1 t=179756
fen tiao 	粉條	c=1 d=1 t=186960
fen wei 	分爲	c=13 d=1 t=281756
fen xi 	分析	c=41 d=0.0836064 t=299031
fen xi ping jia 	分析評價	c=1 d=1 t=18289
fen xi yuan 	分析員	c=2 d=1.99501 t=50144
fen xiang 	分享	c=21 d=1 t=280201
fen xiang 	分項	c=1 d=1 t=6440
fen xiang zi 	粉箱子	c=1 d=1 t=263370
fen xiao 	分銷	c=1 d=1 t=138711
fen xuan 	分選	c=4 d=1 t=108274
fen xuan ping jia 	分選評價	c=1 d=1 t=5180
fen ye 	分頁	c=35 d=1.09501 t=287602
fen ye qi 	分頁其	c=2 d=1.6942 t=287676
fen zhen 	分幀	c=1 d=1 t=247883
fen zhi 	分值	c=0 d=0.1 t=114094
fen zhi 	分支	c=140 d=1.03177 t=280330
fen zhi 	分置	c=9 d=2.81986 t=43380
fen zhi le 	分支了	c=1 d=1 t=24939
fen zhong 	分鐘	c=40 d=4.23777 t=290308
fen zhong xin 	分中心	c=0 d=0.1 t=124315
fen zhu 	分主	c=2 d=1.37719 t=209657
fen zu 	分組	c=34 d=1.01624 t=278397
fen zu ming 	分組名	c=1 d=1 t=210761
feng 	封	c=18 d=1 t=292658
feng 	峯	c=2 d=1 t=179205
feng 	瘋	c=0 d=0.1 t=205369
feng 	縫	c=3 d=1 t=266171
feng 	逢	c=1 d=1 t=245294
feng 	風	c=7 d=1 t=237691
feng ban 	封版	c=4 d=2.02116 t=133952
feng bi 	封閉	c=7 d=1.00029 t=159771
feng bu feng 	封不封	c=1 d=1 t=159008
feng chao 	蜂巢	c=4 d=1 t=203386
feng den ge 	風㩐個	c=1 d=1 t=15522
feng er 	風兒	c=0 d=0.1 t=22752
feng fu 	豐富	c=3 d=1.99005 t=295734
feng ge 	風格	c=15 d=1 t=284303
feng han 	風寒	c=0 d=0.1 t=28441
feng han kang 	風寒抗	c=1 d=1 t=28442
feng huang 	鳳凰	c=1 d=1 t=262809
feng huo 	烽火	c=4 d=1 t=255655
feng huo 	風火	c=1 d=1 t=13097
feng jing qu 	風景區	c=2 d=1.98511 t=167938
feng kong 	封控	c=2 d=1 t=112877
feng kuang 	瘋狂	c=9 d=2.1605e-05 t=299031
feng kuang de 	瘋狂地	c=1 d=1 t=33795
feng le 	瘋了	c=0 d=0.1 t=169812
feng li 	鳳梨	c=1 d=1 t=291218
feng liang hua 	風涼話	c=1 d=1 t=162881
feng long 	風龍	c=1 d=1.09501 t=41315
feng lv zi 	瘋驢子	c=1 d=1 t=205370
feng mian 	封面	c=5 d=1 t=206699
feng mian tu 	封面圖	c=1 d=1 t=116603
feng nuan yu ba 	風暖浴霸	c=2 d=1.96079 t=208738
feng sao 	風騷	c=0 d=0.1 t=289173
feng sao lv shi 	風騷律師	c=2 d=1.99501 t=289175
feng shan 	風扇	c=8 d=1 t=292544
feng shen bang 	封神榜	c=6 d=2.81487 t=12475
feng tian 	奉天	c=1 d=1 t=156172
feng wo 	蜂窩	c=0 d=0.1 t=182180
feng wo lian 	蜂窩簾	c=1 d=1 t=182181
feng xi 	縫隙	c=1 d=1 t=148661
feng xian 	風險	c=11 d=1.00094 t=288236
feng xian guan li 	風險管理	c=2 d=1.01507 t=130822
feng xiao gang 	馮小剛	c=1 d=1 t=118802
feng yu 	風雨	c=0 d=0.1 t=242486
feng yu cai hong 	風雨彩虹	c=1 d=1 t=242487
feng yun 	風雲	c=6 d=1 t=167841
feng zhuang 	封裝	c=31 d=1 t=280186
feng zi 	縫子	c=1 d=1 t=193448
fo ru 	佛如	c=1 d=1 t=280269
fo tiao qiang 	佛跳牆	c=9 d=1.98511 t=150996
fong 	甮	c=5 d=1 t=213438
fong an kai 	甮按開	c=1 d=1 t=143633
fong da fa 	甮大法	c=1 d=1 t=151886
fong dan 	甮單	c=4 d=1 t=213431
fong de 	甮的	c=1 d=0.1 t=82202
fong song 	甮送	c=1 d=1 t=147726
fou 	否	c=23 d=1 t=274954
fou ze 	否則	c=23 d=1 t=291837
fu 	付	c=15 d=1 t=286917
fu 	伏	c=1 d=1 t=232686
fu 	傅	c=2 d=1.99501 t=117674
fu 	富	c=1 d=1 t=120984
fu 	府	c=2 d=1 t=298517
fu 	服	c=20 d=2.14839 t=290888
fu 	父	c=24 d=1.55162 t=293139
fu 	福	c=3 d=1 t=64642
fu 	符	c=0 d=0.1 t=257995
fu 	覆	c=1 d=1 t=88562
fu 	負	c=3 d=1 t=288344
fu 	賦	c=4 d=1.62189 t=278285
fu ban nian 	付半年	c=1 d=0.844532 t=8039
fu ben 	副本	c=4 d=1 t=291585
fu cai 	輔材	c=2 d=1.99501 t=134521
fu cha 	複查	c=6 d=2.80584 t=233033
fu cha ren 	複查人	c=6 d=1.93707 t=235983
fu chen 	浮沉	c=6 d=1.0002 t=49899
fu chong 	俯衝	c=0 d=0.1 t=107225
fu chou zhe 	復仇者	c=2 d=1.72253 t=242217
fu chu 	付出	c=2 d=1.44043 t=91020
fu chu 	復出	c=1 d=1 t=90854
fu chuang kou 	父窗口	c=2 d=1.84366 t=257866
fu dan 	負擔	c=2 d=1.96079 t=265362
fu dao 	輔導	c=1 d=1 t=243885
fu dian 	浮點	c=5 d=1 t=279813
fu dian shu 	浮點數	c=2 d=1.98511 t=182085
fu dian xing 	浮點型	c=3 d=1.92312 t=182076
fu dong 	浮動	c=8 d=1 t=286884
fu fei 	付費	c=9 d=1.94649 t=297000
fu fu 	敷敷	c=1 d=1 t=290394
fu gai 	覆蓋	c=26 d=1 t=266346
fu gei 	付給	c=1 d=1 t=36601
fu hao 	符號	c=17 d=1 t=282020
fu hao lian jie 	符號鏈接	c=1 d=1 t=199300
fu he 	符合	c=5 d=1 t=291491
fu he 	複合	c=3 d=1.75578 t=182113
fu he xing 	複合型	c=1 d=1 t=182104
fu ji 	父級	c=9 d=1.02107 t=267982
fu jia 	富家	c=2 d=1 t=98545
fu jia 	附加	c=2 d=1 t=98546
fu jian 	附件	c=101 d=2.1605e-05 t=299031
fu jian ming 	附件名	c=3 d=2.89299 t=184558
fu jin 	福晉	c=1 d=1 t=2910
fu jin 	附近	c=23 d=1.00002 t=264913
fu jing li 	副經理	c=1 d=1 t=278286
fu ke si 	福克斯	c=2 d=1 t=125265
fu kuan 	付款	c=7 d=1 t=296235
fu kuan ma 	付款碼	c=1 d=1 t=145110
fu le 	付了	c=3 d=1.80654 t=223648
fu le 	服了	c=17 d=2.33658 t=293332
fu lei 	父類	c=9 d=5.16875 t=292235
fu lei xing 	父類型	c=2 d=1.82696 t=250819
fu li 	福利	c=1 d=1 t=253648
fu lia 	付倆	c=1 d=1 t=63708
fu lu you 	父路由	c=1 d=1 t=290450
fu ma 	輔碼	c=5 d=1 t=158514
fu mian 	負面	c=1 d=1 t=45683
fu nv jie 	婦女節	c=2 d=1.95123 t=208255
fu pan 	覆盤	c=2 d=1.03986 t=135513
fu pan hui 	覆盤會	c=2 d=1.99501 t=134846
fu qi 	服氣	c=3 d=2.98506 t=156322
fu qian 	膚淺	c=1 d=1 t=237240
fu qin 	父親	c=1 d=1 t=87330
fu shi 	服飾	c=1 d=1 t=262245
fu shi 	複試	c=1 d=1 t=262246
fu shi shan 	富士山	c=1 d=1 t=133004
fu shu 	負數	c=10 d=1 t=289761
fu wan 	服完	c=1 d=1 t=188800
fu wo 	俯臥	c=2 d=1.99501 t=66888
fu wu 	服務	c=190 d=2.87915 t=296871
fu wu duan 	服務端	c=23 d=1.00002 t=262150
fu wu lei xing 	服務類型	c=1 d=1 t=210632
fu wu mo shi 	服務模式	c=1 d=1 t=265454
fu wu qi 	服務器	c=100 d=4.39086 t=291375
fu wu qi duan 	服務器端	c=1 d=1 t=252708
fu xian 	復現	c=29 d=1 t=233485
fu xiang zi 	父向子	c=1 d=1 t=7254
fu xing men 	復興門	c=1 d=1 t=259490
fu xuan 	浮選	c=2 d=1.28938 t=11120
fu xuan kuang 	複選框	c=4 d=2.20271 t=127448
fu xue 	復學	c=1 d=1 t=229126
fu yang quan 	撫養權	c=3 d=1.8311 t=230746
fu ye 	副業	c=2 d=1 t=251490
fu ye mian 	父頁面	c=3 d=1 t=270283
fu yin 	複印	c=1 d=1 t=192768
fu yin jian 	複印件	c=1 d=1 t=274533
fu yong 	復用	c=34 d=1.76338 t=283900
fu yu 	腹語	c=1 d=1 t=124671
fu yu 	賦予	c=1 d=1 t=278201
fu yuan su 	父元素	c=14 d=2.74698 t=260370
fu za 	複雜	c=9 d=1 t=293669
fu za de 	複雜的	c=1 d=1 t=293571
fu za du 	複雜度	c=1 d=1 t=115241
fu za shu ju 	複雜數據	c=1 d=1 t=258211
fu zai 	負載	c=1 d=1 t=247776
fu zan 	輔贊	c=0 d=0.1 t=115239
fu zan du 	輔贊讀	c=1 d=1 t=115240
fu ze 	負責	c=100 d=1 t=297666
fu ze dan wei 	負責單位	c=1 d=1 t=187982
fu ze en 	負責恩	c=1 d=1 t=205699
fu ze ren 	負責人	c=42 d=2.62034 t=278460
fu zei en 	服賊恩	c=1 d=1 t=85057
fu zhang 	腹脹	c=1 d=1 t=86217
fu zhi 	複製	c=72 d=1 t=297102
fu zhi 	賦值	c=84 d=1 t=297101
fu zhi dao 	複製到	c=2 d=1 t=148133
fu zhu 	輔助	c=20 d=1.03175 t=276150
fu zi 	父子	c=1 d=1 t=25622
fu zong 	副總	c=1 d=1 t=90552
fu zu jian 	父組件	c=1 d=0.1 t=258304
fu zuo yong 	副作用	c=4 d=1.00011 t=261596
ga 	嘎	c=3 d=1 t=237483
ga 	噶	c=0 d=0.1 t=57866
ga 	尬	c=1 d=1 t=255984
ga ga 	嘎嘎	c=0 d=0.1 t=57869
ga ga 	噶噶	c=0 d=0.1 t=57866
ga ga ga 	嘎嘎嘎	c=1 d=1 t=57870
ga ga ga 	噶噶噶	c=2 d=1.99005 t=57869
ga la 	旮旯	c=0 d=0.1 t=213753
ga li 	咖喱	c=0 d=0.1 t=236684
ga li la jiao 	咖喱辣椒	c=3 d=2.71014 t=236744
gai 	改	c=771 d=1.00012 t=293440
gai 	蓋	c=2 d=1 t=284498
gai 	該	c=61 d=1.00003 t=291638
gai ba 	改吧	c=1 d=0.1 t=222095
gai ba gai ba 	改吧改吧	c=3 d=1 t=234114
gai ban 	改版	c=12 d=1.00004 t=230810
gai ban 	蓋板	c=1 d=1 t=133729
gai ben 	改本	c=1 d=1 t=228632
gai bian 	改變	c=45 d=1 t=297243
gai bu gai 	改不改	c=1 d=1 t=100906
gai bu gai 	該不該	c=1 d=1 t=100905
gai bu guo qu 	蓋不過去	c=1 d=1 t=41539
gai bu liao 	改不了	c=3 d=1 t=155284
gai cheng 	改成	c=12 d=0.115903 t=299031
gai cuo 	改錯	c=2 d=1 t=295342
gai da 	該打	c=1 d=1 t=268384
gai de 	改得	c=1 d=1 t=152191
gai dong 	改動	c=25 d=0.00909528 t=299031
gai er 	蓋爾	c=1 d=1 t=125544
gai gai 	改改	c=3 d=1 t=161223
gai ge 	改革	c=1 d=1 t=241105
gai gen 	改跟	c=1 d=1 t=256278
gai guo 	改過	c=1 d=1 t=292797
gai guo 	該國	c=3 d=1 t=93935
gai hao 	改好	c=42 d=1 t=289035
gai hui 	改回	c=3 d=1 t=270899
gai hui lai 	改回來	c=1 d=1 t=177133
gai hui qu 	改回去	c=2 d=1 t=229488
gai jian wei 	改鍵位	c=1 d=1 t=64763
gai jin 	改進	c=1 d=1 t=247878
gai le 	改了	c=16 d=1 t=268979
gai le ba 	改了吧	c=1 d=1 t=194150
gai lv 	概率	c=2 d=1 t=276747
gai ming 	改名	c=4 d=1 t=180962
gai ming 	該名	c=1 d=1 t=78997
gai na li 	改哪裏	c=1 d=1 t=29870
gai neng 	改能	c=1 d=1 t=237047
gai nian 	概念	c=10 d=1 t=295666
gai qian 	改簽	c=1 d=1 t=271053
gai se 	改色	c=1 d=1 t=212075
gai shan 	改善	c=0 d=0.1 t=225987
gai shan guan li 	改善管理	c=1 d=1 t=225988
gai shang 	蓋上	c=1 d=1 t=121108
gai shu 	概述	c=4 d=1.94733 t=289588
gai tiao 	改條	c=1 d=1 t=49743
gai wan 	改完	c=19 d=1.15412 t=287862
gai wei 	改爲	c=32 d=1 t=287172
gai xia 	改下	c=4 d=1 t=270996
gai xie 	改寫	c=1 d=1 t=108695
gai yi ban 	改一版	c=1 d=1 t=53581
gai yi xia 	改一下	c=10 d=1 t=283526
gai yi xia suan 	改一下算	c=2 d=1 t=177939
gai zao 	改造	c=27 d=1.81873 t=243319
gai zhang 	蓋章	c=6 d=1.00041 t=241216
gai zhu 	蓋住	c=3 d=1 t=270349
gan 	幹	c=62 d=0.071719 t=299031
gan 	感	c=0 d=0.1 t=246594
gan 	敢	c=5 d=1 t=294245
gan 	甘	c=3 d=1 t=12580
gan 	肝	c=1 d=1 t=236839
gan 	趕	c=15 d=1 t=297946
gan ba 	乾巴	c=1 d=1 t=7238
gan bu 	敢不	c=0 d=0.1 t=158736
gan bu guo 	干不过	c=1 d=1 t=132219
gan bu shang 	趕不上	c=3 d=1 t=267469
gan bu zuo 	敢不做	c=1 d=1 t=158737
gan cui 	乾脆	c=3 d=1 t=161219
gan diao 	幹掉	c=0 d=0.1 t=94424
gan diao le 	幹掉了	c=1 d=1 t=94425
gan ga 	尷尬	c=1 d=0.1 t=228641
gan ha ne 	幹哈呢	c=1 d=1 t=240656
gan huo 	幹活	c=4 d=1 t=244391
gan ji 	感激	c=3 d=0.1 t=251448
gan jin 	趕緊	c=40 d=1 t=297983
gan jing 	乾淨	c=11 d=1 t=292906
gan ju 	柑橘	c=2 d=1 t=96714
gan jue 	感覺	c=228 d=0.0698496 t=299031
gan kang 	感康	c=1 d=1 t=251431
gan kuai 	趕快	c=2 d=1 t=56417
gan le 	乾了	c=1 d=0.00324708 t=299031
gan ma 	幹嘛	c=2 d=1 t=180094
gan mao 	感冒	c=3 d=1.91361 t=38174
gan ning 	甘寧	c=1 d=1 t=120647
gan ran 	感染	c=4 d=1 t=185335
gan rao 	干擾	c=2 d=0.1 t=216487
gan rao qi 	干擾器	c=1 d=1 t=216488
gan sha 	幹啥	c=35 d=1 t=273313
gan shang 	趕上	c=7 d=1.09139 t=284990
gan shang ba 	趕上吧	c=1 d=1 t=284973
gan shen me 	幹什麼	c=16 d=1 t=258179
gan shen me yong de 	幹什麼用的	c=1 d=1 t=85325
gan shou 	乾瘦	c=2 d=1 t=143528
gan shou 	感受	c=14 d=1 t=292547
gan shou gan shou 	感受感受	c=2 d=1.1549 t=218617
gan si dui 	敢死隊	c=9 d=1 t=255986
gan tan 	感嘆	c=1 d=1 t=274854
gan tang 	趕趟	c=3 d=1 t=291289
gan xie 	感謝	c=9 d=1 t=263678
gan xing qu 	感興趣	c=4 d=1 t=260552
gan ying 	感應	c=5 d=0.1 t=288536
gan yong 	敢用	c=1 d=1 t=172738
gan zhi 	感知	c=3 d=1 t=163551
gan zi qi 	甘子七	c=3 d=1.16284 t=28776
gang 	剛	c=99 d=1.00001 t=297379
gang 	崗	c=1 d=1 t=257182
gang 	港	c=2 d=1 t=239299
gang 	鋼	c=1 d=1 t=153442
gang ben 	岡本	c=1 d=1 t=162907
gang bian 	鋼鞭	c=1 d=1 t=204216
gang cai 	剛纔	c=15 d=1.70117 t=242377
gang cao 	剛草	c=1 d=1 t=111333
gang chi 	剛喫	c=1 d=1 t=190329
gang chuang jian 	剛創建	c=1 d=1 t=68899
gang e 	钢轭	c=1 d=1 t=228578
gang gan 	槓桿	c=1 d=1 t=287380
gang gang 	剛剛	c=330 d=1 t=298589
gang gang de 	剛剛的	c=2 d=1.99501 t=122132
gang gang jia 	剛剛加	c=1 d=1 t=162738
gang gang ni 	剛剛你	c=1 d=1 t=163616
gang guan 	鋼管	c=1 d=1 t=53287
gang hao 	剛好	c=3 d=1 t=233818
gang heng 	剛哼	c=4 d=1 t=284566
gang hua 	鋼化	c=1 d=1.00484 t=146583
gang hua mo 	鋼化膜	c=1 d=1 t=146584
gang hui 	剛回	c=1 d=1 t=242608
gang jiao fang 	剛交房	c=1 d=1 t=225311
gang jin 	鋼筋	c=0 d=0.1 t=28440
gang jin yi bu 	剛進一步	c=1 d=1 t=253642
gang kai shi 	剛開始	c=10 d=1 t=284334
gang ku 	剛庫	c=1 d=1 t=169089
gang lai 	剛來	c=2 d=1 t=172049
gang mai 	剛買	c=0 d=0.1 t=7635
gang mai wan fang 	剛買完房	c=1 d=1 t=7636
gang mang 	剛忙	c=1 d=1 t=127456
gang na ge 	剛那個	c=1 d=1 t=6460
gang neng 	剛能	c=1 d=1 t=138334
gang qi 	剛起	c=1 d=1 t=112907
gang qi lai 	剛起來	c=1 d=1 t=232192
gang qian 	鋼釺	c=1 d=1 t=96645
gang sha 	鋼砂	c=1 d=1 t=151499
gang si 	鋼絲	c=1 d=1 t=266162
gang si yin 	鋼絲音	c=1 d=1 t=149415
gang tie 	鋼鐵	c=0 d=0.1 t=233269
gang wei 	崗位	c=7 d=1 t=277632
gang xing 	剛醒	c=1 d=1 t=266211
gang zhao 	剛找	c=1 d=1 t=254245
gao 	告	c=1 d=1 t=75393
gao 	搞	c=23 d=0.477248 t=299031
gao 	稿	c=1 d=1 t=232215
gao 	膏	c=1 d=1 t=150374
gao 	高	c=62 d=0.0161259 t=299031
gao bie 	告別	c=5 d=2.19352 t=231040
gao bu 	皋埠	c=1 d=1 t=271390
gao ceng 	高層	c=1 d=1 t=232090
gao de 	搞得	c=1 d=1 t=173473
gao de 	高德	c=3 d=1 t=238843
gao du 	高度	c=74 d=1.03206 t=298191
gao duan 	高端	c=1 d=1 t=275033
gao dui bi 	搞對比	c=1 d=1 t=35653
gao feng 	高峯	c=1 d=1 t=290226
gao feng xian 	高風險	c=1 d=1 t=118202
gao gong zi 	高工資	c=1 d=1 t=132582
gao guang 	高光	c=8 d=6.53602 t=254934
gao gui 	高櫃	c=1 d=1 t=207265
gao hao 	搞好	c=1 d=1 t=79458
gao ji 	高級	c=8 d=1 t=264554
gao jia liang 	高家樑	c=5 d=1 t=237912
gao jiao 	高脚	c=0 d=0.1 t=242366
gao jie 	高階	c=8 d=1 t=259789
gao jie han shu 	高階函數	c=1 d=1 t=62673
gao kao 	高考	c=2 d=1.91851 t=57540
gao lan 	皋蘭	c=1 d=1 t=56420
gao lei 	高磊	c=1 d=1 t=11927
gao liang 	高亮	c=21 d=1 t=296757
gao ling 	高領	c=1 d=1 t=266970
gao long 	搞龍	c=1 d=1 t=47459
gao qing 	高清	c=9 d=1.99005 t=242172
gao qing chu 	搞清楚	c=1 d=1 t=173748
gao sheng 	高升	c=0 d=0.1 t=174058
gao sheng ben 	高昇本	c=1 d=1 t=168225
gao sheng zhuan 	高升專	c=2 d=1 t=258908
gao su 	告訴	c=67 d=1.86514 t=297466
gao su 	高速	c=11 d=1 t=277265
gao su fei 	高速費	c=2 d=1.74453 t=271609
gao su ni 	告訴你	c=2 d=1 t=288967
gao su nin 	告訴您	c=1 d=1 t=2186
gao su ta 	告訴他	c=1 d=1 t=214260
gao su wo 	告訴我	c=13 d=1.00001 t=177485
gao tie 	高鐵	c=9 d=1.02802 t=270643
gao wo 	高臥	c=1 d=1 t=26142
gao xiao 	搞笑	c=4 d=1 t=199549
gao xin 	高新	c=3 d=1 t=280019
gao ye wei 	高液位	c=2 d=0.982497 t=23960
gao yi dian 	高一點	c=1 d=1 t=14422
gao yin 	高音	c=1 d=1 t=167587
gao yu 	高於	c=2 d=1 t=269188
gao zhi 	告之	c=4 d=1 t=259179
gao zhi shang 	高智商	c=2 d=1 t=251189
gao zhong 	告終	c=1 d=1 t=57413
gao zhong 	高中	c=7 d=1.9802 t=279973
ge 	個	c=1048 d=5.95692 t=299031
ge 	各	c=3 d=1.98511 t=124578
ge 	咯	c=0 d=0.1 t=57870
ge 	哥	c=2 d=1.37719 t=124867
ge 	格	c=3 d=1 t=225319
ge 	歌	c=26 d=1 t=264352
ge 	葛	c=1 d=1 t=32416
ge bian 	各邊	c=1 d=1 t=207451
ge bie 	個別	c=1 d=1 t=185776
ge bo 	胳膊	c=1 d=1 t=57788
ge ci 	歌詞	c=21 d=1 t=259330
ge dan 	歌單	c=1 d=1 t=179726
ge dou 	格鬥	c=1 d=1 t=199541
ge duan 	隔斷	c=1 d=1 t=211264
ge duo xiao shi 	個多小時	c=1 d=1 t=232194
ge er 	格爾	c=1 d=1 t=255726
ge fang mian 	各方面	c=1 d=1 t=132486
ge ge 	各個	c=17 d=1 t=296520
ge ge 	咯咯	c=0 d=0.1 t=57870
ge ge ge 	咯咯咯	c=1 d=1 t=57871
ge kai 	隔開	c=5 d=1 t=292058
ge kong 	隔空	c=0 d=0.1 t=232915
ge kong tou song 	隔空投送	c=1 d=1 t=232916
ge li 	隔離	c=11 d=1 t=295368
ge men 	哥們	c=6 d=1 t=231944
ge ming 	革命	c=1 d=1 t=111526
ge neng 	個能	c=1 d=1 t=228210
ge qu 	歌曲	c=4 d=1 t=203883
ge re 	隔熱	c=2 d=1.76338 t=214296
ge ren 	個人	c=64 d=0.00135358 t=299031
ge ren neng 	個人能	c=1 d=1 t=239942
ge ren neng li 	個人能力	c=1 d=1 t=239936
ge ren suo de shui 	個人所得稅	c=1 d=1 t=221168
ge ren zhong xin 	個人中心	c=1 d=1 t=138723
ge shi 	格式	c=64 d=1.86936 t=287727
ge shi hua 	格式化	c=28 d=1 t=292724
ge shi shi 	個試試	c=1 d=1 t=222063
ge shou 	割手	c=1 d=1 t=152845
ge shou 	歌手	c=3 d=1 t=230458
ge shu 	個數	c=32 d=1 t=290030
ge shui 	個稅	c=7 d=1.8311 t=239759
ge shui shen bao 	個稅申報	c=1 d=1 t=207203
ge si la 	哥斯拉	c=2 d=1 t=286597
ge wei 	各位	c=3 d=1 t=124883
ge wen 	個問	c=1 d=1 t=195169
ge xiang 	各項	c=1 d=1 t=193355
ge xiao shi 	個小時	c=2 d=1 t=263505
ge yi 	各異	c=1 d=1 t=66098
ge yue 	個月	c=4 d=1 t=290511
ge zhe 	擱着	c=1 d=1 t=243875
ge zhi 	擱置	c=1 d=1 t=60424
ge zhong 	各種	c=15 d=1 t=295743
ge zhong xin xi 	各種信息	c=1 d=1 t=231454
ge zi 	各自	c=2 d=1 t=151983
ge zi 	格子	c=1 d=1 t=46579
gei 	給	c=643 d=0.0335141 t=299031
gei bu gei 	給不給	c=1 d=1 t=123978
gei dao 	給到	c=1 d=1 t=256323
gei ding 	給定	c=4 d=1 t=182155
gei geng er 	給更兒	c=1 d=1 t=7848
gei guo 	給過	c=1 d=1 t=191623
gei le 	給了	c=1 d=1 t=242611
gei ni 	給你	c=23 d=0.0181343 t=299031
gei ni fa yi xia 	給你發一下	c=1 d=1 t=154781
gei ni men 	給你們	c=1 d=1 t=4517
gei nin 	給您	c=2 d=1 t=265419
gei qian 	給錢	c=1 d=1 t=10235
gei wo 	給我	c=25 d=1 t=288639
gei yu 	給予	c=1 d=1 t=141636
gei zi ji 	給自己	c=1 d=1 t=118671
gen 	根	c=23 d=2.66481 t=298042
gen 	跟	c=577 d=0.233403 t=299031
gen ben 	根本	c=8 d=1 t=276699
gen bu shang 	跟不上	c=1 d=1 t=106854
gen duo 	跟多	c=2 d=1 t=222099
gen er 	根兒	c=1 d=1 t=108079
gen feng 	跟風	c=2 d=1 t=185428
gen fu wu qi 	根服務器	c=1 d=1 t=248700
gen fu za 	跟複雜	c=1 d=1 t=115415
gen gai 	跟改	c=1 d=1 t=246778
gen hai 	跟還	c=1 d=1 t=82836
gen hou tai 	跟後臺	c=1 d=1 t=54753
gen huo 	跟或	c=1 d=1 t=187385
gen jie dian 	跟節點	c=4 d=1.65051 t=277956
gen jin 	跟進	c=21 d=1 t=285099
gen ju 	根據	c=263 d=0.274864 t=299031
gen ju she bei lei xing 	根據設備類型	c=1 d=1 t=39765
gen ju ta 	根據他	c=3 d=1 t=249563
gen jue 	根絕	c=1 d=1 t=139851
gen lu jing 	跟路徑	c=1 d=1 t=270153
gen lu you 	跟路由	c=5 d=2.61968 t=298041
gen mu lu 	根目錄	c=2 d=1 t=196355
gen ni 	跟你	c=29 d=0.123687 t=299031
gen ni shuo 	跟你說	c=2 d=1 t=242001
gen ni zou 	跟你走	c=0 d=0.1 t=133041
gen nin 	跟您	c=2 d=1 t=218614
gen nuo 	跟挪	c=1 d=1 t=238220
gen rong qi 	跟容器	c=2 d=1.01545 t=136578
gen shao 	茛苕	c=1 d=1 t=194195
gen shi 	根式	c=1 d=1 t=90954
gen ta 	跟他	c=8 d=1 t=242570
gen ta 	跟她	c=1 d=1 t=294648
gen ta shuo 	跟他說	c=1 d=1 t=2547
gen tong shi 	跟同事	c=1 d=1 t=174952
gen wo 	跟我	c=19 d=1 t=285083
gen wo cha bu duo 	跟我差不多	c=1 d=1 t=188930
gen wo shuo 	跟我說	c=1 d=1 t=256997
gen xin 	跟新	c=1 d=1 t=109135
gen yuan 	根源	c=4 d=1 t=276078
gen zan men 	跟咱們	c=1 d=1 t=167288
gen zhe 	跟着	c=5 d=1.13199 t=297205
gen zhe ge 	跟這個	c=1 d=1 t=22733
gen zong 	跟蹤	c=8 d=1 t=184508
geng 	埂	c=2 d=1 t=155619
geng 	更	c=47 d=0.00609675 t=299031
geng 	梗	c=1 d=1 t=284089
geng ai 	更愛	c=1 d=1 t=223080
geng an quan 	更安全	c=1 d=1 t=67802
geng bu 	更不	c=0 d=0.1 t=221184
geng bu hao 	更不好	c=1 d=1 t=106600
geng bu hao shi 	更不好使	c=1 d=1 t=228707
geng bu ke neng 	更不可能	c=1 d=1 t=221185
geng da 	更大	c=2 d=1 t=281633
geng duo 	更多	c=20 d=1 t=281749
geng fan 	耕翻	c=1 d=1 t=298590
geng fang xin 	更放心	c=1 d=1 t=137875
geng fu za 	更複雜	c=1 d=1 t=289582
geng gai 	更改	c=84 d=1 t=285982
geng gao 	更高	c=1 d=1 t=273062
geng geng 	耿耿	c=0 d=0.1 t=28783
geng geng geng gai 	耿耿更改	c=1 d=1 t=28784
geng hao 	更好	c=3 d=1 t=298183
geng huan 	更換	c=40 d=2.00446 t=278413
geng jia 	更佳	c=2 d=1 t=249447
geng jia 	更加	c=1 d=1 t=249448
geng jian dan 	更簡單	c=1 d=1 t=260728
geng jin 	更近	c=1 d=1 t=253645
geng jin yi bu 	更進一步	c=1 d=1 t=280510
geng kua o 	更跨哦	c=1 d=1 t=109287
